Lower Depth Interval (m),Upper Depth Interval (m),matrix thermal conductivity (W/m deg C)
30.5,33.5,3.00
61.0,64.0,3.18
91.4,94.5,3.30
121.9,125.0,3.00
152.4,155.4,3.00
182.9,185.9,3.48
213.3,216.4,3.31
243.8,246.9,3.45
274.3,277.4,3.33
304.8,307.8,3.52
335.3,338.3,3.10
365.7,368.8,3.26
396.2,399.3,3.40
426.7,429.7,3.54
457.2,460.2,3.28
487.7,490.7,3.14
518.1,521.2,3.54
548.6,551.7,3.51
579.1,582.1,3.25
609.6,612.6,2.95
640.0,643.1,2.44
670.5,673.6,3.24
701.0,704.1,2.66
731.5,734.5,3.08
762.0,765.0,3.30
792.4,795.5,2.99
822.9,826.0,3.14
853.4,856.4,2.89
883.9,886.9,2.93
914.4,917.4,3.46
944.8,947.9,2.98
975.3,978.4,2.27
1005.8,1008.8,2.52
1036.3,1039.3,2.34
1066.7,1069.8,2.40
1097.2,1100.3,2.22
1127.7,1130.8,2.18
1158.2,1161.2,2.33
1188.7,1191.7,2.56
1219.1,1222.2,2.13
1249.6,1252.7,2.55
1280.1,1283.1,2.40
1310.6,1313.6,2.41
1341.1,1344.1,2.47
1371.5,1374.6,2.15
1402.0,1405.1,2.30
1432.5,1435.5,2.45
1463.0,1466.0,2.17
1493.4,1496.5,2.35
1523.9,1527.0,2.20
1554.4,1557.5,2.56
1584.9,1587.9,3.37
1615.4,1618.4,2.38
1645.8,1648.9,3.38
1676.3,1679.4,3.74
1706.8,1709.8,3.15
1737.3,1740.3,3.68
1767.8,1770.8,3.72
1798.2,1801.3,3.97
1828.7,1831.8,2.38
1859.2,1862.2,2.51
1889.7,1892.7,2.38
1920.1,1923.2,3.08
1950.6,1953.7,3.15
1981.1,1984.2,2.95
2011.6,2014.6,3.00
2042.1,2045.1,3.03
2103.0,2106.1,3.13
2133.5,2136.5,3.46
2164.0,2167.0,2.80
2194.5,2197.5,2.96
2224.9,2228.0,3.16
2255.4,2258.5,2.68
2285.9,2288.9,2.78
